report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita,agency_jurisdiction,State,lat,lng
2012,MD01721,"Prince George's County, MD",670946,3955,49,145,1765,1996,12,589.47,7.3,21.61,263.06,297.49,Prince George's County, MD,37.2209,-77.2683
2012,NC09201,"Raleigh, NC",420594,1780,17,113,985,665,12,423.21,4.04,26.87,234.19,158.11,Raleigh, NC,35.8325,-78.6435
2012,CA03404,"Sacramento, CA",476557,3520,34,125,2150,1211,12,738.63,7.13,26.23,451.15,254.11,Sacramento, CA,38.5667,-121.4683
2012,UT01803,"Salt Lake City, UT",192465,1302,8,123,854,317,12,676.49,4.16,63.91,443.72,164.71,Salt Lake City, UT,40.7777,-111.9306
2012,TXSPD00,"San Antonio, TX",1380123,6943,89,549,4441,1864,12,503.07,6.45,39.78,321.78,135.06,San Antonio, TX,31.4424,-100.4506
2012,CA03711,"San Diego, CA",1338477,5529,47,304,3661,1517,12,413.08,3.51,22.71,273.52,113.34,San Diego, CA,32.8312,-117.1225
2012,CA03801,"San Francisco, CA",820363,5777,69,108,2116,3484,12,704.2,8.41,13.16,257.93,424.69,San Francisco, CA,37.7562,-122.443
2012,CA04313,"San Jose, CA",976459,3547,45,280,2014,1208,12,363.25,4.61,28.68,206.26,123.71,San Jose, CA,37.3019,-121.8486
2012,WASPD00,"Seattle, WA",626865,3782,25,123,2198,1436,12,603.32,3.99,19.62,350.63,229.08,Seattle, WA,47.6211,-122.3244
2012,MOSPD00,"St. Louis, MO",318667,5661,113,199,3571,1778,12,1776.46,35.46,62.45,1120.61,557.95,St. Louis, MO,38.6358,-90.2451
2012,NY05101,"Suffolk County, NY",1345578,1790,23,42,1044,681,12,133.03,1.71,3.12,77.59,50.61,,,,
2012,FL02902,"Tampa, FL",350758,2162,23,43,1523,573,12,616.38,6.56,12.26,434.2,163.36,Tampa, FL,27.9942,-82.4451
2012,AZ01003,"Tucson, AZ",531535,3850,42,234,2314,1260,12,724.32,7.9,44.02,435.34,237.05,Tucson, AZ,32.1545,-110.8782
2012,OK07205,"Tulsa, OK",398904,3949,42,316,2529,1062,12,989.96,10.53,79.22,633.99,266.23,Tulsa, OK,36.1284,-95.9042
2012,,United States,,1214464,14827,,,,,386.9,4.7,,,,United States,,37.0902,-95.7129
2012,VA12800,"Virginia Beach, VA",447588,751,21,57,346,327,12,167.79,4.69,12.73,77.3,73.06,Virginia Beach, VA,36.7335,-76.0435
2012,DCMPD00,"Washington, DC",632323,7448,88,236,3399,3725,12,1177.88,13.92,37.32,537.54,589.1,Washington, DC,38.9047,-77.0163
2012,KS08703,"Wichita, KS",386409,2896,23,242,2135,496,12,749.46,5.95,62.63,552.52,128.36,Wichita, KS,37.6896,-97.3442
2013,NM00101,"Albuquerque, NM",558165,4325,37,439,2803,1046,12,774.86,6.63,78.65,502.18,187.4,Albuquerque, NM,35.1053,-106.6464
2013,TX22001,"Arlington, TX",378765,1837,18,105,1152,562,12,485,4.75,27.72,304.15,148.38,Arlington, TX,32.6998,-97.125
2013,GAAPD00,"Atlanta, GA",451020,5516,83,105,2965,2363,12,1223.01,18.4,23.28,657.4,523.92,Atlanta, GA,33.7627,-84.4224
2013,CO00101,"Aurora, CO",343484,1429,20,224,716,469,12,416.03,5.82,65.21,208.45,136.54,Aurora, CO,39.7087,-104.7273
2013,TX22701,"Austin, TX",859180,3123,26,217,2117,763,12,363.49,3.03,25.26,246.4,88.81,Austin, TX,30.3004,-97.7522
2013,MD00301,"Baltimore County, MD",822814,4184,20,124,2530,1510,11,508.5,2.43,15.07,307.48,183.52,,,,
2013,MDBPD00,"Baltimore, MD",622671,8725,233,298,4460,3734,12,1401.22,37.42,47.86,716.27,599.67,Baltimore, MD,39.3051,-76.6144
